miRNA,182_S25_R1_001,112_S27_R1_001,15-7p150_S32_R1_001,192_S22_R1_001,15-1p16_S33_R1_001,121_S24_R1_001,153_S15_R1_001,124_S16_R1_001,166_S4_R1_001,059_S13_R1_001,167_S23_R1_001,149_S3_R1_001,093_S6_R1_001,144_S5_R1_001,062_S19_R1_001,179_S26_R1_001,138_S30_R1_001,033_S21_R1_001,6c_S47_R1_001,123_S20_R1_001,1c_S43_R1_001,29-7p16_S41_R1_001,Undetermined_S0_R1_001,197_S2_R1_001,15-7p16_S31_R1_001,29-1p16_S39_R1_001,17-7p150_S38_R1_001,109_S9_R1_001,187_S10_R1_001,105_S1_R1_001,15-1p150_S34_R1_001,29-7p150_S42_R1_001,17-1p150_S36_R1_001,17-7p16_S37_R1_001,127_S29_R1_001,164_S14_R1_001,075_S12_R1_001,135_S7_R1_001,17-1p16_S35_R1_001,019_S18_R1_001,125_S11_R1_001,106_S28_R1_001,7c_S44_R1_001,32c_S45_R1_001,29-1p150_S40_R1_001,4c_S46_R1_001,103_S17_R1_001,34c_S48_R1_001,128_S8_R1_001
Hsa-Mir-135-P2_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,153.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,30.0,0.0
Hsa-Mir-135-P3_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-135-P3_5p,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.0,0.0,362.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,25.0,0.0,0.0,0.0,9.0,0.0
Hsa-Mir-136_3p,169.0,70.0,90.0,165.0,109.0,125.0,124.0,37.0,88.0,383.0,90.0,222.0,90.0,190.0,844.0,199.0,146.0,127.0,85.0,179.0,237.0,20.0,120.0,42.0,774.0,15.0,36.0,56.0,61.0,181.0,92.0,17.0,28.0,55.0,9.0,59.0,0.0,65.0,28.0,75.0,173.0,0.0,838.0,6.0,9.0,0.0,140.0,30.0,76.0
Hsa-Mir-136_5p*,18.0,36.0,151.0,48.0,23.0,98.0,37.0,0.0,8.0,34.0,0.0,28.0,54.0,28.0,80.0,37.0,64.0,36.0,17.0,48.0,47.0,29.0,18.0,40.0,0.0,0.0,17.0,10.0,10.0,57.0,17.0,0.0,34.0,0.0,0.0,18.0,0.0,15.0,10.0,21.0,11.0,0.0,155.0,0.0,0.0,0.0,55.0,3.0,37.0
Hsa-Mir-137-P1_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-137-P1_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-138-P1_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,33.0,0.0,0.0,0.0,0.0,19.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Hsa-Mir-138-P1_5p/P2_5p,0.0,10.0,76.0,0.0,46.0,29.0,12.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,26.0,0.0,13.0,12.0,6.0,11.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,28.0,20.0,0.0,11.0,0.0,49.0,0.0,0.0,58.0,0.0,5.0,0.0
Hsa-Mir-138-P2_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
