miRNA,182_S25_R1_001,112_S27_R1_001,15-7p150_S32_R1_001,192_S22_R1_001,15-1p16_S33_R1_001,121_S24_R1_001,153_S15_R1_001,124_S16_R1_001,166_S4_R1_001,059_S13_R1_001,167_S23_R1_001,149_S3_R1_001,093_S6_R1_001,144_S5_R1_001,062_S19_R1_001,179_S26_R1_001,138_S30_R1_001,033_S21_R1_001,6c_S47_R1_001,123_S20_R1_001,1c_S43_R1_001,29-7p16_S41_R1_001,Undetermined_S0_R1_001,197_S2_R1_001,15-7p16_S31_R1_001,29-1p16_S39_R1_001,17-7p150_S38_R1_001,109_S9_R1_001,187_S10_R1_001,105_S1_R1_001,15-1p150_S34_R1_001,29-7p150_S42_R1_001,17-1p150_S36_R1_001,17-7p16_S37_R1_001,127_S29_R1_001,164_S14_R1_001,075_S12_R1_001,135_S7_R1_001,17-1p16_S35_R1_001,019_S18_R1_001,125_S11_R1_001,106_S28_R1_001,7c_S44_R1_001,32c_S45_R1_001,29-1p150_S40_R1_001,4c_S46_R1_001,103_S17_R1_001,34c_S48_R1_001,128_S8_R1_001
Hsa-Mir-154-P23_3p,166.0,68.0,566.0,75.0,74.0,123.0,116.0,76.0,60.0,762.0,3.0,219.0,19.0,140.0,1804.0,344.0,243.0,49.0,29.0,396.0,372.0,50.0,129.0,3.0,107.0,18.0,32.0,48.0,47.0,79.0,127.0,29.0,34.0,128.0,0.0,93.0,0.0,71.0,0.0,112.0,181.0,0.0,1200.0,7.0,14.0,0.0,98.0,168.0,38.0
Hsa-Mir-154-P23_5p*,0.0,6.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,39.0,5.0,0.0,0.0,117.0,11.0,0.0,0.0,0.0,27.0,19.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,10.0,0.0,0.0,8.0,0.0
Hsa-Mir-154-P24_3p,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P24_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P25_3p,7.0,0.0,0.0,0.0,21.0,0.0,0.0,14.0,0.0,4.0,0.0,3.0,0.0,0.0,6.0,42.0,6.0,10.0,0.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,47.0,0.0,0.0,0.0,14.0,0.0,5.0
Hsa-Mir-154-P25_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P26_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,3.0,0.0
Hsa-Mir-154-P26_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P27_3p,22.0,5.0,0.0,11.0,11.0,30.0,10.0,9.0,30.0,101.0,0.0,75.0,10.0,36.0,249.0,49.0,25.0,15.0,3.0,90.0,20.0,18.0,19.0,0.0,80.0,3.0,2.0,27.0,54.0,11.0,31.0,0.0,21.0,0.0,0.0,35.0,0.0,20.0,0.0,7.0,45.0,0.0,95.0,0.0,4.0,0.0,29.0,17.0,13.0
Hsa-Mir-154-P27_5p*,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_3p/P28b_3p,7.0,4.0,0.0,0.0,20.0,0.0,9.0,0.0,0.0,24.0,0.0,8.0,10.0,11.0,79.0,0.0,19.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_5p*/P28b_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P29_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P29_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2_3p,2.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,10.0,12.0,0.0,16.0,13.0,9.0,57.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,13.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,38.0,0.0,0.0,0.0,7.0,0.0,0.0
Hsa-Mir-154-P2_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P30_3p,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,7.0
Hsa-Mir-154-P30_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P36_3p,232.0,295.0,665.0,780.0,336.0,544.0,430.0,322.0,265.0,2931.0,72.0,480.0,40.0,680.0,4416.0,944.0,525.0,144.0,77.0,800.0,409.0,125.0,340.0,363.0,1973.0,33.0,69.0,347.0,284.0,475.0,171.0,69.0,81.0,360.0,195.0,160.0,403.0,254.0,123.0,256.0,212.0,518.0,1795.0,9.0,18.0,0.0,296.0,350.0,423.0
Hsa-Mir-154-P36_5p*,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a_3p,0.0,4.0,0.0,16.0,0.0,0.0,6.0,6.0,0.0,29.0,0.0,0.0,11.0,12.0,46.0,13.0,7.0,0.0,9.0,24.0,17.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,85.0,0.0,0.0,0.0,0.0,3.0,0.0
Hsa-Mir-154-P3a_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_3p,7.0,0.0,169.0,26.0,56.0,72.0,0.0,6.0,12.0,92.0,0.0,9.0,13.0,25.0,26.0,14.0,6.0,0.0,8.0,16.0,8.0,0.0,12.0,0.0,129.0,5.0,0.0,11.0,0.0,0.0,78.0,17.0,14.0,13.0,0.0,0.0,0.0,19.0,6.0,11.0,0.0,0.0,48.0,0.0,11.0,0.0,4.0,17.0,18.0
Hsa-Mir-154-P3b_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4a_3p/P4b_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,6.0,0.0
Hsa-Mir-154-P4a_5p*/P4b_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P5_3p,19.0,0.0,0.0,0.0,9.0,0.0,3.0,3.0,2.0,43.0,0.0,46.0,12.0,15.0,52.0,49.0,6.0,13.0,0.0,29.0,13.0,6.0,15.0,32.0,0.0,0.0,11.0,6.0,0.0,29.0,45.0,0.0,11.0,0.0,0.0,0.0,0.0,13.0,10.0,10.0,24.0,0.0,55.0,0.0,0.0,0.0,9.0,4.0,4.0
Hsa-Mir-154-P5_5p,15.0,8.0,0.0,34.0,0.0,14.0,0.0,5.0,0.0,29.0,0.0,0.0,0.0,0.0,136.0,13.0,12.0,4.0,0.0,26.0,20.0,10.0,8.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,12.0,59.0,19.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,70.0,6.0,0.0,0.0,7.0,4.0,11.0
Hsa-Mir-154-P6_3p,0.0,0.0,0.0,0.0,12.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,4.0
Hsa-Mir-154-P6_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,5.0,0.0
Hsa-Mir-154-P7_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,23.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0
Hsa-Mir-154-P7_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P8_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P8_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P9_3p,155.0,60.0,414.0,140.0,135.0,85.0,219.0,193.0,115.0,1095.0,6.0,358.0,41.0,254.0,1659.0,260.0,341.0,70.0,46.0,235.0,325.0,9.0,146.0,58.0,1139.0,4.0,22.0,99.0,170.0,319.0,129.0,24.0,27.0,31.0,0.0,87.0,0.0,107.0,71.0,90.0,180.0,2.0,1070.0,0.0,15.0,0.0,158.0,42.0,107.0
Hsa-Mir-154-P9_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-155_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-155_5p,188.0,263.0,0.0,477.0,721.0,731.0,321.0,366.0,124.0,360.0,834.0,853.0,230.0,204.0,866.0,526.0,322.0,843.0,6722.0,482.0,1506.0,182.0,407.0,297.0,844.0,109.0,52.0,227.0,170.0,640.0,125.0,50.0,85.0,1095.0,85.0,329.0,3.0,200.0,672.0,271.0,349.0,3.0,3320.0,780.0,0.0,0.0,589.0,2141.0,196.0
Hsa-Mir-17-P1a_3p*,803.0,1315.0,3.0,1035.0,38.0,1161.0,526.0,509.0,508.0,528.0,2305.0,300.0,427.0,352.0,1020.0,900.0,1343.0,631.0,471.0,685.0,267.0,24.0,432.0,654.0,98.0,16.0,62.0,1012.0,51.0,332.0,132.0,67.0,8.0,127.0,244.0,471.0,127.0,645.0,40.0,975.0,438.0,801.0,491.0,7.0,13.0,176.0,753.0,775.0,893.0
Hsa-Mir-17-P1a_5p/P1b_5p,770.0,3883.0,408.0,2623.0,371.0,2595.0,1628.0,3496.0,1377.0,2941.0,1392.0,775.0,813.0,1143.0,2865.0,1987.0,5693.0,1477.0,2567.0,2440.0,2052.0,131.0,1052.0,1493.0,1339.0,51.0,141.0,2439.0,781.0,1548.0,981.0,115.0,120.0,524.0,195.0,812.0,8.0,2809.0,240.0,1062.0,462.0,8.0,4139.0,123.0,25.0,5.0,1779.0,5332.0,2410.0
Hsa-Mir-17-P1b_3p*,11.0,21.0,0.0,0.0,0.0,0.0,51.0,18.0,8.0,23.0,86.0,28.0,24.0,2.0,59.0,26.0,31.0,48.0,6.0,69.0,11.0,0.0,17.0,66.0,0.0,0.0,26.0,32.0,15.0,0.0,16.0,0.0,0.0,0.0,0.0,17.0,0.0,36.0,0.0,16.0,52.0,0.0,8.0,0.0,6.0,0.0,39.0,0.0,21.0
Hsa-Mir-17-P1c_3p*,128.0,339.0,0.0,199.0,29.0,120.0,99.0,119.0,127.0,154.0,433.0,81.0,75.0,76.0,193.0,78.0,274.0,114.0,409.0,144.0,174.0,18.0,83.0,108.0,0.0,0.0,19.0,138.0,39.0,113.0,123.0,0.0,18.0,30.0,30.0,90.0,0.0,175.0,17.0,44.0,40.0,0.0,280.0,49.0,0.0,23.0,103.0,400.0,180.0
Hsa-Mir-17-P1c_5p,9371.0,91205.0,5988.0,43464.0,2967.0,69504.0,27040.0,64391.0,25923.0,49296.0,56843.0,17901.0,13715.0,18295.0,30492.0,27225.0,66533.0,20645.0,22947.0,32400.0,27122.0,1292.0,18310.0,49174.0,6513.0,607.0,1103.0,48895.0,18353.0,30520.0,7058.0,941.0,1061.0,4509.0,13543.0,13862.0,6754.0,52280.0,2470.0,33945.0,9428.0,9780.0,48621.0,932.0,678.0,756.0,36303.0,151140.0,45023.0
Hsa-Mir-17-P2a_3p*,87.0,746.0,0.0,509.0,18.0,447.0,101.0,490.0,159.0,429.0,309.0,34.0,159.0,158.0,277.0,142.0,264.0,144.0,138.0,237.0,68.0,15.0,97.0,362.0,0.0,6.0,14.0,329.0,200.0,265.0,87.0,0.0,4.0,0.0,31.0,33.0,0.0,309.0,0.0,72.0,17.0,0.0,208.0,12.0,6.0,60.0,389.0,356.0,661.0
Hsa-Mir-17-P2a_5p,66.0,583.0,121.0,350.0,52.0,363.0,288.0,505.0,191.0,468.0,175.0,169.0,114.0,155.0,519.0,281.0,609.0,292.0,521.0,406.0,381.0,41.0,184.0,336.0,0.0,6.0,33.0,459.0,90.0,235.0,89.0,10.0,13.0,113.0,42.0,180.0,0.0,295.0,68.0,170.0,118.0,0.0,625.0,6.0,8.0,0.0,327.0,408.0,470.0
Hsa-Mir-17-P2b_3p*,14.0,27.0,0.0,16.0,0.0,0.0,5.0,19.0,0.0,50.0,0.0,11.0,33.0,14.0,15.0,0.0,10.0,8.0,12.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,40.0,0.0,22.0,49.0,0.0,0.0,0.0,0.0,40.0,0.0,17.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,28.0,27.0,5.0
Hsa-Mir-17-P2b_5p,18.0,147.0,0.0,40.0,21.0,0.0,66.0,130.0,22.0,179.0,86.0,20.0,22.0,32.0,64.0,26.0,132.0,68.0,30.0,74.0,51.0,0.0,36.0,46.0,0.0,0.0,0.0,139.0,23.0,66.0,25.0,0.0,15.0,0.0,0.0,19.0,0.0,132.0,0.0,22.0,17.0,0.0,81.0,0.0,0.0,0.0,117.0,28.0,124.0
Hsa-Mir-17-P3a_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,8.0,5.0,9.0,23.0,26.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,14.0,0.0
Hsa-Mir-17-P3a_5p,1191.0,2854.0,366.0,2273.0,214.0,1230.0,1333.0,2725.0,1135.0,3050.0,406.0,815.0,637.0,700.0,2440.0,1244.0,3843.0,1666.0,2710.0,1984.0,1898.0,74.0,810.0,1080.0,563.0,11.0,121.0,2263.0,1154.0,917.0,826.0,111.0,170.0,269.0,50.0,557.0,3.0,2328.0,141.0,570.0,395.0,4.0,4284.0,78.0,66.0,0.0,1583.0,3397.0,1918.0
Hsa-Mir-17-P3b_3p*,4.0,38.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,77.0,0.0,6.0,47.0,9.0,39.0,0.0,76.0,34.0,18.0,0.0,14.0,0.0,12.0,0.0,0.0,0.0,0.0,59.0,52.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,40.0,5.0,0.0,25.0,0.0,0.0,0.0,37.0,29.0,79.0
Hsa-Mir-17-P3b_5p,36.0,439.0,2.0,353.0,16.0,255.0,289.0,311.0,150.0,402.0,84.0,103.0,130.0,138.0,217.0,206.0,347.0,97.0,313.0,216.0,300.0,27.0,132.0,206.0,0.0,17.0,38.0,425.0,103.0,151.0,66.0,2.0,14.0,43.0,51.0,131.0,0.0,297.0,24.0,186.0,52.0,0.0,643.0,3.0,3.0,0.0,346.0,817.0,357.0
Hsa-Mir-17-P3c_3p,5246.0,34102.0,4414.0,20262.0,724.0,24947.0,24151.0,32495.0,13970.0,33581.0,40740.0,11046.0,17357.0,16990.0,22044.0,11686.0,29086.0,10988.0,7295.0,16911.0,6641.0,354.0,11064.0,32104.0,2570.0,129.0,506.0,33519.0,14381.0,19561.0,2787.0,276.0,438.0,1085.0,5574.0,12574.0,27650.0,27645.0,563.0,30854.0,10890.0,19546.0,9390.0,546.0,274.0,1158.0,19948.0,30682.0,36860.0
Hsa-Mir-17-P3c_5p,1847.0,13754.0,1176.0,8068.0,490.0,7565.0,5822.0,9157.0,4300.0,9013.0,6695.0,4002.0,3165.0,3742.0,7269.0,5684.0,13803.0,6005.0,2773.0,7941.0,2722.0,251.0,3165.0,5456.0,498.0,79.0,546.0,8320.0,4205.0,4021.0,2588.0,474.0,359.0,586.0,1150.0,3622.0,412.0,6435.0,264.0,4186.0,1977.0,38.0,4172.0,115.0,304.0,10.0,7078.0,4247.0,7369.0
Hsa-Mir-181-P1a_3p*,334.0,169.0,355.0,787.0,259.0,489.0,662.0,534.0,348.0,572.0,474.0,766.0,586.0,410.0,625.0,609.0,548.0,435.0,701.0,487.0,274.0,95.0,338.0,755.0,793.0,34.0,71.0,481.0,674.0,439.0,97.0,54.0,105.0,252.0,48.0,580.0,0.0,276.0,183.0,498.0,877.0,2.0,706.0,40.0,11.0,63.0,428.0,198.0,258.0
Hsa-Mir-181-P1a_5p/P1b_5p,65711.0,81599.0,43773.0,127402.0,34418.0,115459.0,99173.0,197683.0,91644.0,152234.0,82113.0,132853.0,100208.0,86659.0,122895.0,112567.0,136542.0,98001.0,292489.0,150305.0,168725.0,11296.0,97744.0,111954.0,112345.0,4420.0,8548.0,130992.0,87652.0,98456.0,26570.0,5035.0,9695.0,51346.0,16492.0,97282.0,3105.0,80025.0,34368.0,89336.0,176471.0,14968.0,432732.0,7756.0,2182.0,12766.0,116056.0,1020797.0,91295.0
Hsa-Mir-181-P1b_3p*,1691.0,1169.0,992.0,1505.0,452.0,2083.0,1012.0,1141.0,889.0,1879.0,3986.0,1379.0,1787.0,1270.0,1363.0,1374.0,1191.0,925.0,2743.0,1967.0,513.0,64.0,940.0,2572.0,1315.0,46.0,152.0,1462.0,858.0,1458.0,605.0,52.0,330.0,357.0,1300.0,1175.0,896.0,1063.0,342.0,1813.0,1357.0,2306.0,1036.0,152.0,27.0,67.0,1333.0,592.0,1639.0
Hsa-Mir-181-P1c_3p*,101.0,110.0,0.0,203.0,107.0,183.0,128.0,142.0,80.0,343.0,373.0,386.0,106.0,78.0,796.0,412.0,155.0,93.0,850.0,182.0,180.0,38.0,127.0,228.0,136.0,5.0,24.0,259.0,78.0,188.0,70.0,0.0,53.0,111.0,0.0,205.0,0.0,90.0,81.0,230.0,555.0,0.0,215.0,16.0,0.0,0.0,225.0,166.0,86.0
Hsa-Mir-181-P1c_5p,562.0,1360.0,485.0,1241.0,507.0,1294.0,1424.0,1715.0,1369.0,2115.0,1377.0,1746.0,527.0,805.0,3206.0,1567.0,1283.0,771.0,7823.0,1169.0,2360.0,114.0,1054.0,1588.0,2001.0,53.0,91.0,2531.0,909.0,1473.0,286.0,82.0,80.0,384.0,185.0,940.0,4.0,1744.0,477.0,2476.0,1383.0,462.0,3536.0,122.0,11.0,38.0,1495.0,2255.0,1011.0
Hsa-Mir-181-P2a_3p*,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,29.0,0.0,0.0,9.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,2.0,11.0,13.0,38.0,13.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,34.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-181-P2a_5p/P2b_5p,1953.0,2147.0,1649.0,3700.0,1815.0,4143.0,2824.0,3407.0,2186.0,3414.0,2938.0,4034.0,3316.0,2849.0,3355.0,4030.0,3624.0,3595.0,5185.0,3171.0,6288.0,592.0,2226.0,2548.0,3930.0,208.0,439.0,3012.0,4139.0,3448.0,1046.0,163.0,602.0,2635.0,1136.0,3016.0,152.0,1697.0,1932.0,3119.0,4324.0,547.0,13730.0,466.0,61.0,326.0,3445.0,5873.0,2714.0
Hsa-Mir-181-P2b_3p*,0.0,6.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,7.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,18.0
